complaint_text,category,priority,department,type
I was transferred 4 times when trying to resolve my issue.,Customer Service,Low,Customer Support,Non-Technical
The discount code SAVE43 didn't apply to my order.,Pricing,High,Sales,Non-Technical
training has been down for 23 hours.,Service Outage,High,IT,Technical
I was charged $67.45 more than the listed price for cloud storage.,Pricing,Medium,Sales,Non-Technical
The estimated restock date for cloud storage keeps getting pushed back.,Product Availability,Low,Inventory,Non-Technical
I need to modify my order #898496 but can't find an option to do so.,Order Processing,Medium,Operations,Non-Technical
I'm unable to upload files on your website.,Website Issues,Medium,IT,Technical
I want to request a copy of all data you have about me under GDPR.,Data Privacy,High,Compliance,Technical
I pre-ordered cloud storage but haven't received any updates.,Product Availability,Medium,Inventory,Non-Technical
project management tool crashes when I update my profile.,Software Bugs,High,Development,Technical
The contract doesn't specify renewal terms clearly.,Contract Issues,Medium,Legal,Non-Technical
I can't find payment methods on your website.,Website Issues,Medium,IT,Technical
I received a suspicious email that appears to be from your company.,Security Concerns,High,IT Security,Technical
The return process for subscription service is too complicated.,Returns,Medium,Customer Support,Non-Technical
My order was marked as delivered but I never received it.,Shipping,High,Logistics,Non-Technical
I'm unable to log in to my account.,Account Access,Medium,IT,Technical
The checkout process of web hosting is not responding.,Service Outage,Medium,IT,Technical
I need to update my account information but can't access the settings.,Account Access,Medium,IT,Technical
premium account stopped working after a month of use.,Product Quality,High,Quality Assurance,Technical
The packaging for software license was damaged upon arrival.,Shipping,Low,Logistics,Non-Technical
I was issued an incorrect refund amount for my return of laptop.,Returns,Medium,Customer Support,Non-Technical
The packaging for monitor was damaged upon arrival.,Shipping,High,Logistics,Non-Technical
I received a data breach notification from your company.,Security Concerns,Medium,IT Security,Technical
There's a discrepancy in our service contract regarding refund terms.,Contract Issues,Medium,Legal,Non-Technical
I received a data breach notification from your company.,Security Concerns,Medium,IT Security,Technical
I received a confirmation email but my order doesn't appear in my account.,Order Processing,Medium,Operations,Non-Technical
The latest update to inventory management caused missing parts.,Software Bugs,Medium,Development,Technical
I was transferred 5 times when trying to resolve my issue.,Customer Service,Low,Customer Support,Non-Technical
The contract doesn't specify service level agreement clearly.,Contract Issues,Low,Legal,Non-Technical
I need to modify my order #367579 but can't find an option to do so.,Order Processing,Medium,Operations,Non-Technical
The shipping status for my order hasn't been updated in 8 days.,Shipping,High,Logistics,Non-Technical
I was transferred 4 times when trying to resolve my issue.,Customer Service,Low,Customer Support,Non-Technical
The customer service representative was impatient when I called about damaged.,Customer Service,Medium,Customer Support,Non-Technical
The final price at checkout was higher than shown in my cart.,Pricing,High,Sales,Non-Technical
maintenance plan has been down for 24 hours.,Service Outage,Medium,IT,Technical
I was overcharged for API access in my recent bill.,Billing,Medium,Billing,Non-Technical
I keep getting an error when trying to download reports.,Website Issues,Low,IT,Technical
web hosting has been down for 4 hours.,Service Outage,Medium,IT,Technical
The quality of laptop does not meet the advertised specifications.,Product Quality,Medium,Quality Assurance,Technical
I was charged a restocking fee that wasn't mentioned in the return policy.,Returns,Medium,Customer Support,Non-Technical
The microphone in premium account is not functioning as expected.,Product Quality,High,Quality Assurance,Technical
"I noticed unusual activity in my account on November 07, 2025.",Security Concerns,High,IT Security,Technical
The order status hasn't been updated in 14 days.,Order Processing,Medium,Operations,Non-Technical
I keep getting an error when trying to log in.,Website Issues,Medium,IT,Technical
keyboard stopped working after several months of use.,Product Quality,Medium,Quality Assurance,Technical
I keep getting an error when trying to place an order.,Website Issues,Medium,IT,Technical
The camera in software license is not functioning as expected.,Product Quality,Medium,Quality Assurance,Technical
The latest update to analytics dashboard caused missing parts.,Software Bugs,Medium,Development,Technical
My account was locked after 4 failed login attempts.,Account Access,High,IT,Technical
I was charged a restocking fee that wasn't mentioned in the return policy.,Returns,Medium,Customer Support,Non-Technical
My order was marked as delivered but I never received it.,Shipping,Medium,Logistics,Non-Technical
There seems to be a widespread outage affecting cloud storage.,Service Outage,High,IT,Technical
My order #942496 is 10 days late.,Shipping,Medium,Logistics,Non-Technical
My account shows incorrect account details.,Account Access,Medium,IT,Technical
The price charged for software license doesn't match the advertised price.,Pricing,High,Sales,Non-Technical
There seems to be a widespread outage affecting maintenance plan.,Service Outage,High,IT,Technical
The order status hasn't been updated in 2 days.,Order Processing,Medium,Operations,Non-Technical
I was charged for my order but haven't received a confirmation.,Order Processing,Medium,Operations,Non-Technical
I need to modify my order #747097 but can't find an option to do so.,Order Processing,Medium,Operations,Non-Technical
I received a data breach notification from your company.,Security Concerns,High,IT Security,Technical
My order #935336 is 4 days late.,Shipping,Medium,Logistics,Non-Technical
The terms of service were changed without proper notice.,Contract Issues,Medium,Legal,Non-Technical
The reporting tool of premium support is not responding.,Service Outage,High,IT,Technical
inventory management crashes when I update my profile.,Software Bugs,Medium,Development,Technical
I need to update my account information but can't access the settings.,Account Access,High,IT,Technical
The latest update to analytics dashboard caused missing parts.,Software Bugs,Low,Development,Technical
The reporting tool of consulting is not responding.,Service Outage,High,IT,Technical
I need to update my account information but can't access the settings.,Account Access,Medium,IT,Technical
The order status hasn't been updated in 5 days.,Order Processing,High,Operations,Non-Technical
There's a display issue with product gallery in analytics dashboard.,Software Bugs,Medium,Development,Technical
I pre-ordered premium account but haven't received any updates.,Product Availability,High,Inventory,Non-Technical
The quality of software license does not meet the advertised specifications.,Product Quality,High,Quality Assurance,Technical
There's a discrepancy in my billing for web hosting.,Billing,Medium,Billing,Non-Technical
The discount code SAVE22 didn't apply to my order.,Pricing,Low,Sales,Non-Technical
I was charged incorrectly for web hosting on my last invoice.,Billing,Medium,Billing,Non-Technical
The order status hasn't been updated in 10 days.,Order Processing,Medium,Operations,Non-Technical
My account shows incorrect payment methods.,Account Access,Low,IT,Technical
maintenance plan has been down for 12 hours.,Service Outage,High,IT,Technical
I found a bug in accounting software when trying to download reports.,Software Bugs,High,Development,Technical
I received a data breach notification from your company.,Security Concerns,Medium,IT Security,Technical
The search function on your website is not working properly.,Website Issues,Medium,IT,Technical
The shipping status for my order hasn't been updated in 10 days.,Shipping,Medium,Logistics,Non-Technical
The order status hasn't been updated in 2 days.,Order Processing,Medium,Operations,Non-Technical
monitor stopped working after several months of use.,Product Quality,Medium,Quality Assurance,Technical
The return process for monitor is too complicated.,Returns,High,Customer Support,Non-Technical
I received a suspicious email that appears to be from your company.,Security Concerns,High,IT Security,Technical
My return request for software license hasn't been processed after 12 days.,Returns,Medium,Customer Support,Non-Technical
There seems to be a widespread outage affecting cloud storage.,Service Outage,Medium,IT,Technical
The return shipping label provided was invalid.,Returns,Medium,Customer Support,Non-Technical
The order status hasn't been updated in 3 days.,Order Processing,High,Operations,Non-Technical
